ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	regens	runtime_error	time_adjust	time_taken	total_inds	total_time	
0.49928176893059545	76.27	6.77	64.225	51.18	1.0	0	0	382	10	319	255	4	4	4	3	0	0	0	81.2403461933136	200	81.2403461933136	
0.5540367569142399	106.48	6.885245901639344	34.0	27.0	1.0	1	139	200	9.0	159.0	127.0	10	4.0	4.0	3.0	0	0	0	15.316649913787842	400	96.55699610710144	
0.6793333434069151	86.95	7.070707070707071	33.696969696969695	26.757575757575758	1.0	2	240	192	9.0	159.0	127.0	2	4.0	4.0	3.0	0	0	0	25.18529486656189	600	121.74229097366333	
0.7446967230485848	70.425	6.895238095238096	25.523809523809526	20.21904761904762	1.0	3	335	195	9.0	159.0	127.0	5	4.0	4.0	3.0	0	0	0	22.299604892730713	800	144.04189586639404	
0.7717156487994937	78.965	7.092436974789916	28.11764705882353	22.294117647058822	1.0	4	416	197	9.0	159.0	127.0	9	4.0	4.0	3.0	0	0	0	29.997756958007812	1000	174.03965282440186	
