ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	
0.4856494396893676	75.7	6.91	63.75	50.8	1.0	0	0	382	10	319	255	4	4	4	3	0	0	80.82435870170593	200	80.82435870170593	
0.725211114518093	154.93	8.5748031496063	104.23622047244095	83.18897637795276	1.0	1	73	390	17.0	414.0	331.0	3	4.0	4.0	3.0	0	0	95.07697606086731	400	175.90133476257324	
0.9071084096375794	234.255	10.206106870229007	171.51908396946564	137.01526717557252	1.0	2	142	391	17.0	429.0	343.0	10	4.0	4.0	3.0	0	0	120.2764060497284	600	296.17774081230164	
0.9284775455647533	251.99	10.809859154929578	182.80281690140845	146.04225352112675	1.0	3	200	385	17.0	394.0	315.0	53	4.0	4.0	3.0	0	0	136.39348483085632	800	432.57122564315796	
0.9357173360321799	248.84	11.204081632653061	166.0408163265306	132.6326530612245	1.0	4	253	390	17.0	419.0	335.0	67	4.0	4.0	3.0	0	0	157.23204350471497	1000	589.8032691478729	
0.9505833957603933	231.375	11.631944444444445	163.96527777777777	130.97222222222223	1.0	5	309	391	17.0	419.0	335.0	55	6.0	14.0	11.0	0	0	157.16664814949036	1200	746.9699172973633	
0.9520929346999487	242.625	11.669172932330827	160.8045112781955	128.4436090225564	1.0	6	376	392	17.0	419.0	335.0	60	7.0	34.0	27.0	0	0	118.51112270355225	1400	865.4810400009155	
0.9488117925100668	244.07	12.18562874251497	160.2574850299401	128.00598802395209	1.0	7	409	390	17.0	384.0	307.0	78	7.0	19.0	15.0	0	0	152.85089778900146	1600	1018.331937789917	
0.933571518208941	248.705	12.758389261744966	165.9798657718121	132.58389261744966	1.0	8	460	390	17.0	369.0	295.0	84	4.0	4.0	3.0	0	0	132.30282831192017	1800	1150.6347661018372	
0.9528950128743845	249.125	12.900621118012422	167.944099378882	134.1552795031056	1.0	9	499	389	17.0	394.0	315.0	32	4.0	4.0	3.0	0	0	200.81387376785278	2000	1351.44863986969	
0.9534320471561202	248.04	12.490196078431373	157.56209150326796	125.84967320261438	1.0	10	546	389	17.0	394.0	315.0	57	4.0	4.0	3.0	0	0	152.83719730377197	2200	1504.285837173462	
