ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	regens	runtime_error	time_adjust	time_taken	total_inds	total_time	
0.4957052246071745	73.93	6.7	62.275	49.62	1.0	0	0	382	10	319	255	4	4	4	3	0	0	0	136.60225105285645	200	136.60225105285645	
0.6226873150411867	91.93	6.542168674698795	38.51807228915663	30.6144578313253	1.0	1	117	382	10.0	319.0	255.0	3	4.0	4.0	3.0	0	0	0	32.42881488800049	400	169.03106594085693	
0.7111858741639039	94.575	6.9914529914529915	41.52136752136752	33.01709401709402	1.0	2	200	382	10.0	319.0	255.0	19	4.0	4.0	3.0	0	0	0	55.61292910575867	600	224.6439950466156	
0.7071172866428849	85.635	7.0	37.529411764705884	29.823529411764707	1.0	3	281	382	10.0	319.0	255.0	22	4.0	4.0	3.0	0	0	0	50.757084608078	800	275.4010796546936	
0.7614659120865626	100.475	7.085470085470085	39.17094017094017	31.136752136752136	1.0	4	364	382	10.0	319.0	255.0	20	4.0	4.0	3.0	0	0	0	47.438109159469604	1000	322.8391888141632	
0.8465437420676356	125.365	7.191666666666666	37.041666666666664	29.433333333333334	1.0	5	444	382	10.0	319.0	255.0	19	4.0	4.0	3.0	0	0	0	47.65067195892334	1200	370.48986077308655	
0.8469396583545477	128.745	7.267716535433071	36.874015748031496	29.299212598425196	1.0	6	517	382	10.0	319.0	255.0	29	4.0	4.0	3.0	0	0	0	49.159972190856934	1400	419.6498329639435	
0.8790263021916627	115.855	7.456692913385827	39.0	31.0	1.0	7	590	382	10.0	319.0	255.0	28	4.0	4.0	3.0	0	0	0	52.48943567276001	1600	472.1392686367035	
0.8605427242274026	114.225	7.333333333333333	38.714285714285715	30.771428571428572	1.0	8	685	382	10.0	319.0	255.0	44	4.0	4.0	3.0	0	0	0	42.25986123085022	1800	514.3991298675537	
0.8858302490849187	107.14	7.371681415929204	39.08849557522124	31.07079646017699	1.0	9	772	382	10.0	319.0	255.0	34	4.0	4.0	3.0	0	0	0	47.28698706626892	2000	561.6861169338226	
0.8802137620692448	117.37	7.382352941176471	36.463235294117645	28.970588235294116	1.0	10	836	382	10.0	319.0	255.0	33	4.0	4.0	3.0	0	0	0	96.78218412399292	2200	658.4683010578156	
0.9150147917749362	110.835	7.386861313868613	35.277372262773724	28.021897810218977	1.0	11	899	382	10.0	319.0	255.0	36	4.0	4.0	3.0	0	0	0	54.010005950927734	2400	712.4783070087433	
0.9083243733906482	106.47	7.451851851851852	35.074074074074076	27.85925925925926	1.0	12	964	382	10.0	319.0	255.0	31	5.0	9.0	7.0	0	0	0	62.20987510681152	2600	774.6881821155548	
0.8790711151510052	108.55	7.296875	33.140625	26.3125	1.0	13	1036	382	10.0	319.0	255.0	23	4.0	4.0	3.0	0	0	0	74.51359677314758	2800	849.2017788887024	
0.9068296046075099	111.645	7.492857142857143	34.464285714285715	27.37142857142857	1.0	14	1096	382	10.0	319.0	255.0	36	6.0	14.0	11.0	0	0	0	57.8583562374115	3000	907.0601351261139	
0.8935340727082209	111.275	7.5177304964539005	34.46099290780142	27.368794326241133	1.0	15	1155	382	10.0	319.0	255.0	37	4.0	4.0	3.0	0	0	0	56.35641169548035	3200	963.4165468215942	
0.8882621864454794	116.02	7.566433566433567	34.45454545454545	27.363636363636363	1.0	16	1212	382	10.0	319.0	255.0	35	4.0	4.0	3.0	0	0	0	72.28002095222473	3400	1035.696567773819	
0.8999431031769435	120.77	7.559701492537314	35.6044776119403	28.28358208955224	1.0	17	1278	382	10.0	319.0	255.0	28	4.0	4.0	3.0	0	0	0	60.481709241867065	3600	1096.178277015686	
0.8728250542741658	124.77	7.559055118110236	35.92913385826772	28.543307086614174	1.0	18	1351	382	10.0	319.0	255.0	23	5.0	9.0	7.0	0	0	0	57.8681800365448	3800	1154.0464570522308	
0.9139062016921581	129.23	7.6231884057971016	37.98550724637681	30.18840579710145	1.0	19	1413	382	10.0	319.0	255.0	72	4.0	4.0	3.0	0	0	0	69.05942845344543	4000	1223.1058855056763	
0.8999973497600936	132.42	7.576271186440678	37.898305084745765	30.11864406779661	1.0	20	1495	382	10.0	319.0	255.0	61	4.0	4.0	3.0	0	0	0	46.78488230705261	4200	1269.8907678127289	
0.8999973497600936	132.42	7.576271186440678	37.898305084745765	30.11864406779661	1.0	20	1495	382	10.0	319.0	255.0	61	4.0	4.0	3.0	0	0	0	46.78488230705261	4200	1269.8907678127289	
